Taxon,Divergence
 GCA_000968375.1,Cyanobacteriota+Chloroflexota
 GCA_000383295.1,Cyanobacteriota+Chloroflexota
 GCA_000299355.1,Cyanobacteriota+Chloroflexota
 GCA_000235605.1,Cyanobacteriota+Chloroflexota
 GCA_000215085.1,Cyanobacteriota+Chloroflexota
 GCA_000189755.3,Cyanobacteriota+Chloroflexota
 GCA_900129285.1,Cyanobacteriota+Chloroflexota
 GCA_000597865.1,Cyanobacteriota+Chloroflexota
 GCA_900104415.1,Cyanobacteriota+Chloroflexota
 GCA_900205925.1,Cyanobacteriota+Chloroflexota
 GCA_900176335.1,Cyanobacteriota+Chloroflexota
 GCA_000174415.1,Cyanobacteriota+Chloroflexota
 GCA_900129935.1,Cyanobacteriota+Chloroflexota
 GCA_900142955.1,Cyanobacteriota+Chloroflexota
 GCA_000763575.1,Cyanobacteriota+Chloroflexota
 GCA_000165465.1,Cyanobacteriota+Chloroflexota
 GCA_000219125.2,Cyanobacteriota+Chloroflexota
 GCA_000307225.1,Cyanobacteriota+Chloroflexota
 GCA_900101835.1,Cyanobacteriota+Chloroflexota
 GCA_000488855.1,Cyanobacteriota+Chloroflexota
 GCA_000510425.1,Cyanobacteriota+Chloroflexota
 GCA_901212655.1,Cyanobacteriota+Chloroflexota
 GCA_004341395.1,Cyanobacteriota+Chloroflexota
 GCA_000019165.1,Cyanobacteriota+Chloroflexota
 GCA_000179595.2,Cyanobacteriota+Chloroflexota
 GCA_000018325.1,Cyanobacteriota+Chloroflexota
 GCA_003208175.1,Cyanobacteriota+Chloroflexota
 GCA_000376385.1,Cyanobacteriota+Chloroflexota
 GCA_000430885.1,Cyanobacteriota+Chloroflexota
 GCA_000243135.3,Cyanobacteriota+Chloroflexota
